Street_ID,Full_Street_Name,Risk_Score_Below15,Bus_Stops,Local_Business,GoodRoadRating,FairRoadRating,PoorRoadRating,SewerConfl,Engineerin,NationalGr,ProjectInPastFiveYears,Length_0to100,Length_101to200,Length_201to300,Length_301to400,Length_401to500,Length_501OrMore,PrimaryRoad,SecondaryRoad,LocalRoad
12578703,2199 E GENESEE ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12577244,1999 S SALINA ST,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12581073,2698 JAMES ST,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
12578211,1899 E GENESEE ST,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577949,389 N STATE ST,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
12575268,199 COURT ST,1,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12578706,2399 E GENESEE ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12576839,2399 S SALINA ST,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12564383,5523 S SALINA ST,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576741,4011 S SALINA ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576772,3399 S SALINA ST,1,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12576550,4945 S SALINA ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12571713,1799 VALLEY DR,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12576872,2699 S SALINA ST,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
12578908,3399 E GENESEE ST,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12571935,849 VALLEY DR,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12577876,199 S STATE ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12573489,1499 W GENESEE ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12571842,103 MCDONALD RD,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12577241,2099 S SALINA ST,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577782,639 E GENESEE ST,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
12577261,1799 S SALINA ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12571934,545 VALLEY DR,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12577262,1699 S SALINA ST,1,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12580433,1725 JAMES ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
13002136,1139 SOUTH AVE,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577873,215 N STATE ST,1,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12581245,3529 JAMES ST,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
12576742,3999 S SALINA ST,1,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12578147,1299 E GENESEE ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12571905,2399 SOUTH AVE,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
13002520,699 S STATE ST,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12578917,3527 E GENESEE ST,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12581090,3199 JAMES ST,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
12577354,299 E RAYNOR AVE,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12578735,2799 E GENESEE ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
13002525,923 S STATE ST,1,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12576571,269 W SENECA TPKE,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12576770,3430 S SALINA ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12580409,1499 JAMES ST,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12575520,1027 COURT ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12572069,1899 SOUTH AVE,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577809,899 E GENESEE ST,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12575212,2419 LODI ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
